alcohol,sugar,pH,class
12.5,2.5,3.22,0
9.2,1.8,3.35,0
12.6,6.2,3.24,0
11.1,2.2,3.33,0
10.2,2.2,3.58,0
9.8,1.7,3.38,0
11.1,2.2,3.33,0
10.9,8.9,3.29,0
12.2,3.3,3.36,0
11.4,1.4,3.32,0
10.7,1.7,3.31,0
10.4,1.8,3.49,0
10.9,1.7,3.27,0
10.8,1.8,3.27,0
10.4,1.8,3.49,0
9.2,1.4,3.03,0
12.9,2.4,3.56,0
12.7,2.3,3.38,0
9.1,2,3.13,0
9.1,2,3.13,0
12.1,4,3.21,0
9.1,3.9,3.15,0
11.6,2.4,3.19,0
12.1,4,3.21,0
9.9,1.8,3.14,0
12.5,1.8,3.21,0
11.4,1.9,3.3,0
11.8,2.4,3.22,0
11.8,2,3.28,0
10.2,2.4,3.29,0
12.5,2.4,3.4,0
10.9,2.2,3.02,0
10.9,2.2,3.02,0
10.8,2.8,3.31,0
11.1,1.5,3.18,0
9.2,8.1,3.2,0
9.5,1.8,3.4,0
10.7,2.7,3.31,0
9.2,8.1,3.2,0
10.2,2,3.44,0
11.4,2,3.15,0
11,6.4,3.27,0
11,6.4,3.27,0
12.3,8.3,3.01,0
11.8,1.4,3.16,0
12.3,8.3,3.01,0
9.5,1.8,3.42,0
12,2.4,3.33,0
9.5,1.8,3.42,0
9.6,1.8,3.12,0
11.6,4.7,3.38,0
11.2,1.6,3.29,0
9.9,1.5,3.02,0
9.9,1.5,3.02,0
11.8,1.9,2.98,0
11.4,2,3.35,0
11.5,2,3.43,0
12,2.2,3.33,0
10.8,5.5,3.35,0
10.5,2.5,3.15,0
10.8,5.5,3.35,0
9.4,1.5,3.2,0
12.5,2.1,3.15,0
9.4,1.5,3.2,0
12.4,2.1,3.11,0
12,2.1,3.35,0
11.2,1.7,3.45,0
12,2.1,3.35,0
12.4,2.2,3.28,0
12.8,2.1,3.41,0
12.3,1.9,3.21,0
11.7,2,3.27,0
9.5,3.3,3.36,0
10.8,2.1,3.17,0
10,1.4,3.25,0
12.3,2,3.78,0
11,1.5,3.29,0
9.5,1.6,3.12,0
13.6,4.3,3.49,0
11.3,2.5,3.38,0
11.3,2.5,3.38,0
11.3,2.5,3.38,0
13.3,2.1,3.3,0
12.9,2.5,3.52,0
13.1,2.5,3.2,0
12.3,1.8,3.44,0
12.3,1.4,3.45,0
11.2,1.9,3.12,0
11.5,2.2,3.62,0
11.3,1.7,3.14,0
13.5,1.7,3.39,0
11.5,2.9,3.51,0
10,2.7,3.22,0
10.5,3.3,3.21,0
10.4,1.9,3.18,0
9.5,1.7,3.32,0
13.6,1.8,3.38,0
11.2,5.5,3.37,0
11.8,1.7,3.3,0
11.9,1.7,3.38,0
11.4,2,3.22,0
11.4,2,3.22,0
9.1,3.7,3.14,0
9.5,2,3.34,0
9.5,1.7,3.41,0
11,2.5,3.27,0
11.4,2.4,3.3,0
10,1.8,3.61,0
10.1,2.3,3.43,0
10.4,2.5,3.53,0
9.8,1.8,3.28,0
11.8,6.2,3.21,0
11.6,2,3.39,0
12,2,3.23,0
12.8,2.8,3.3,0
12.5,2.5,3.46,0
9.8,2.2,3.15,0
11.1,2.1,3.23,0
11.4,2.2,3.59,0
9.8,2.2,3.15,0
11.8,1.75,3.33,0
12.9,2.1,3.46,0
10.6,2.8,3.42,0
10.8,2.2,3.16,0
11.1,2.3,3.14,0
10.2,1.4,3.21,0
11.8,2.3,3.14,0
10,1.7,3.29,0
10,1.7,3.29,0
9.4,1.9,3.01,0
10.2,2,2.94,0
12.4,2.5,3.32,0
12,2.8,3.21,0
11.5,2.3,3.32,0
10.5,1.6,3.2,0
10.8,2.2,3.42,0
12.3,2.1,3.27,0
9.5,1.7,3.46,0
9.5,1.7,3.46,0
11.5,2.2,3.61,0
11.2,5.6,3.58,0
12.7,2.4,3.35,0
11.4,2.1,3.68,0
11,2.4,3.27,0
11,2.4,3.27,0
11.4,1.65,3.19,0
10.5,2.5,3.38,0
9.3,1.6,3.29,0
10.9,2.1,3.36,0
11.9,2,3.33,0
12.2,7.8,3.52,0
11.9,2,3.33,0
10.9,2.1,3.36,0
9.6,1.8,3.3,0
12.5,4.6,3.28,0
10.8,2.3,3.56,0
12.4,2.5,3.52,0
10.8,2.3,3.56,0
9.5,1.8,3.22,0
9.5,1.8,3.52,0
9.5,2.3,3.21,0
9.8,1.5,3.16,0
10.9,2,3.15,0
9.5,2.3,3.21,0
9.8,1.5,3.16,0
11.2,1.9,3.27,0
11.7,1.8,3.35,0
9.4,5.8,3.14,0
11,2.1,3.4,0
11,2.1,3.4,0
11,2.1,3.4,0
10,1.7,3.35,0
11,2.1,3.4,0
11.2,2,3.45,0
10.4,2.1,3.35,0
9.3,2.1,3.32,0
10.4,2.1,3.35,0
10.5,1.9,3.15,0
10.4,1.9,3.1,0
11.3,2.1,3.26,0
9.5,2,3.29,0
12,1.9,3.23,0
10.6,1.9,3.24,0
10.9,1.3,3.2,0
11.5,1.8,3.28,0
11.5,1.8,3.28,0
9.6,2.2,3.26,0
12,2.2,3.23,0
10.3,2.5,3.07,0
9.4,2.6,3.15,0
9.2,4.1,3.02,0
9.6,2,3.27,0
13.6,1.8,3.68,0
9.5,2.1,3.4,0
11.8,2.7,3.37,0
10.8,2.6,3.38,0
9.5,2.1,3.4,0
9.3,2.2,3.23,0
12.8,2.2,3.39,0
11.5,12.9,3.3,0
9.4,1.7,3.26,0
12.8,2.2,3.39,0
9.6,2.5,3.38,0
11.8,4.3,3.45,0
9.3,1.7,3.1,0
9.8,2.5,3.16,0
12.2,2,3.22,0
9.5,2.4,3.37,0
10.3,13.4,3.33,0
10.5,1.8,3.49,0
10,1.7,3.12,0
10.5,1.8,3.49,0
11.1,2.2,3.41,0
10.9,2.3,3.4,0
10.9,2.3,3.4,0
9.8,2.2,3.28,0
9.8,1.8,3.45,0
9.5,1.4,3.43,0
10.9,1.9,3.4,0
11,2.4,3.47,0
9.2,1.8,3.1,0
11,4.8,3.32,0
11.3,2.7,3.44,0
11.3,2.7,3.44,0
9.3,1.8,3.02,0
11.2,2,3.59,0
9.8,2.5,3.15,0
9.6,2.2,3.37,0
11.8,1.8,3.38,0
10.3,2.3,3.38,0
10.3,2.3,3.38,0
11.4,2.3,3.1,0
9.5,2,3.47,0
14,1.8,3.5,0
14,1.6,3.7,0
11.7,1.6,3.38,0
11.2,1.9,3.5,0
9.3,2,3.1,0
11.2,2.1,3.24,0
9.5,2.3,3.24,0
12,6.3,3.28,0
9.7,1.9,3.35,0
9.5,2.3,3.24,0
11.5,1.7,3.14,0
10.4,1.9,3.37,0
10.4,1.9,3.37,0
10.9,2,3.33,0
10.2,2.7,3.26,0
10.9,2.3,3.39,0
10.5,1.8,3.15,0
12.4,2.5,3.35,0
13,2.6,3.22,0
10.2,4.5,3.3,0
10.2,4.5,3.3,0
11,1.9,3.36,0
10.9,2.1,3.29,0
12.4,2.4,3.62,0
9.7,1.9,3.34,0
10.9,2.1,3.29,0
9.5,4.3,3.2,0
9.5,4.3,3.2,0
12.1,2.1,3.35,0
12.2,1.4,3.45,0
10.9,2.1,3.5,0
12.5,2.15,3.78,0
11.7,2,3.6,0
11.2,2.1,3.3,0
11.2,1.8,3.36,0
9.2,2.3,3.12,0
9.8,1.9,3.3,0
10.1,2.5,3.29,0
11.1,3.9,3.41,0
10.1,2.5,3.29,0
9.2,1.4,3.28,0
9.8,1.9,3.3,0
12.8,3,3.33,0
10.5,1.9,3.34,0
10.1,2.3,3.4,0
10.1,2.4,3.4,0
9.8,2,3.26,0
12.5,1.2,4.01,0
11.9,2.2,3.18,0
9.8,2,3.26,0
9.1,1.7,2.9,0
10.1,2.6,3.26,0
12.5,1.2,4.01,0
11.4,1.8,3.18,0
11,1.8,3.18,0
10.6,1.7,3.39,0
10.6,1.7,3.39,0
10.6,1.7,3.39,0
10.6,1.7,3.39,0
9.3,1.8,3.34,0
9.8,2.1,3.29,0
9.8,2.1,3.29,0
9.2,3.8,3.26,0
9.7,1.7,3.09,0
9.6,2.2,3.18,0
10,2,3.39,0
12.6,2.4,3.38,0
9.5,1.4,3.36,0
9.5,1.4,3.36,0
9.5,1.4,3.36,0
10.5,1.7,3.36,0
10.5,1.7,3.36,0
10.5,1.7,3.36,0
10.4,1.7,3.37,0
10.5,1.7,3.36,0
11,2.6,3.09,0
10.2,2.3,3.25,0
11.4,2.1,3.52,0
9.5,1.8,3.34,0
9.5,1.8,3.34,0
10.8,2.8,3.41,0
10,2,3.34,0
11.8,2.3,3.32,0
10.3,1.9,3.37,0
10.3,1.9,3.37,0
10,2.3,3.35,0
10.1,1.8,3.36,0
10.1,1.8,3.36,0
11.1,2.5,3.6,0
9.5,5.4,3.28,0
10.03333333,1.4,3.07,0
10.9,2.3,3.24,0
10.1,2.5,3.36,0
10.03333333,1.4,3.07,0
9.8,2,3.29,0
11.8,1.9,3.46,0
9.5,2.2,3.18,0
9.8,1.7,3.24,0
10.5,2.2,3.25,0
9.8,2.1,3.27,0
10.4,1.6,3.33,0
9.2,1.7,3,0
11.6,3.1,3.21,0
9.2,1.7,3,0
9.3,3.8,3.24,0
9.8,1.2,3.32,0
9.9,2,3.26,0
10,1.4,3.11,0
12.2,2.3,3.71,0
9.9,2,3.29,0
10.8,2.6,3.36,0
10.8,2.6,3.36,0
9.6,1.8,3.38,0
9.9,2.1,3.3,0
9.9,2.1,3.3,0
9.5,1.8,3.19,0
9.2,3.4,3.19,0
9.6,1.8,3.3,0
9.6,1.8,3.3,0
10.3,6.1,3.35,0
9.7,2.2,3.1,0
12.5,2.3,3.58,0
11,2.4,3.37,0
9.8,1.3,3.17,0
10.2,2,3.3,0
9.2,3.9,3.32,0
9.55,1.6,3.31,0
9.55,1.6,3.31,0
9.9,2,3.28,0
10.2,2.2,3.52,0
11.1,2.2,3.42,0
9.9,2.1,3.25,0
9.9,2.1,3.25,0
11.9,2,3.44,0
10,1.7,3.23,0
10.7,2.6,3.43,0
11.3,2,3.28,0
10.9,5.1,3.22,0
10.7,2.1,3.54,0
12.4,2.2,3.27,0
10.7,2.1,3.54,0
11.9,1.8,3.5,0
10.6,2.4,3.56,0
10.9,5.1,3.22,0
10.1,2,3.04,0
9.6,2.2,3.2,0
9.4,1.6,3.56,0
9.6,2.2,3.2,0
12.1,2.5,3.35,0
9.8,1.6,3.16,0
9.9,2.2,3.27,0
9.8,1.6,3.16,0
9.4,1.6,3.34,0
11.4,2.1,3.39,0
11,3.9,3.5,0
9.6,1.4,3.26,0
9.6,1.4,3.26,0
12.1,1.8,3.41,0
11.2,2.5,3.3,0
11,1.9,3.31,0
11.3,2.2,3.33,0
10.4,1.8,3.37,0
9.9,2.1,3.26,0
11.7,1.6,3.48,0
10.1,1.8,3.42,0
9,15.4,3.18,0
9,15.4,3.18,0
8.5,1.6,3.15,0
11.1,4.8,3.53,0
10.3,1.7,3.41,0
11.06666667,2.2,3.32,0
11.3,2,3.23,0
9.566666667,5.2,3.16,0
9.8,1.9,3.4,0
11.7,1.75,3.38,0
11.1,2.2,3.32,0
9.6,5.2,3.16,0
9.8,1.9,3.4,0
9.7,1.9,3.4,0
9.7,1.9,3.4,0
11.3,2,3.23,0
11.3,2,3.23,0
11,2.7,3.33,0
11.6,2,3.35,0
9,1.9,3.41,0
10.9,2.2,3.21,0
10.9,1.6,3.5,0
10.55,1.8,3.3,0
9,1.9,3.41,0
10.5,1.7,3.39,0
11.9,1.7,3.32,0
10.4,2.3,3.41,0
10,2.1,3.59,0
10.4,2.3,3.36,0
10.8,2.4,3.34,0
9.7,1.7,3.41,0
9.7,1.7,3.41,0
10,2.1,3.3,0
11,2.3,3.52,0
10,2.1,3.3,0
9.7,2.1,3.31,0
9.7,1.4,2.88,0
12.6,3.75,3.43,0
11.1,2.6,3.38,0
11,1.8,3.38,0
8.8,13.8,3.16,0
13.56666667,2.2,3.54,0
8.8,13.8,3.16,0
13.6,2.2,3.54,0
10.2,5.7,3.4,0
10.6,3,3.39,0
10.1,1.5,3.66,0
10.6,3,3.39,0
10.3,2.1,3.33,0
10.7,1.5,3.35,0
10.9,2,3.53,0
9.7,2.1,3.37,0
10.3,2.1,3.38,0
10.6,1.9,3.52,0
11.4,1.7,3.72,0
10.8,2.1,3.44,0
12.4,1.8,3.39,0
11.4,1.7,3.72,0
11.95,1.6,3.57,0
9.7,1.9,3.26,0
10,1.4,3.42,0
10.6,1.9,3.35,0
9.7,1.9,3.26,0
11.5,2.3,3.45,0
10.8,2.3,3.53,0
11.5,2.3,3.45,0
9.6,1.5,3.26,0
9.4,4.3,3.16,0
9.8,2.4,3.31,0
11,2.5,3.51,0
11.4,2.3,3.36,0
9.95,1.8,3.55,0
10.8,2,3.51,0
11.4,2.3,3.36,0
10.6,2.1,3.38,0
11.1,1.8,3.28,0
9.7,2.2,3.47,0
9.8,2.1,3.44,0
10.4,2.2,3.53,0
10.5,1.8,3.33,0
9.233333333,4.1,3.53,0
9.25,4.1,3.53,0
10.6,2.3,3.42,0
10.3,2,3.38,0
10.5,2.2,3.32,0
10.2,2.6,3.44,0
10.3,2,3.38,0
9.05,1.9,3.39,0
10.6,2.3,3.42,0
10.4,2,3.34,0
10,2,3.39,0
9.7,2.1,3.33,0
9.6,2.2,3.3,0
10.8,1.7,3.29,0
10.1,2.2,3.31,0
10.2,2.1,3.42,0
11.3,2.2,3.42,0
10.2,2.8,3.6,0
9.9,2,3.21,0
9,1.9,3.39,0
11.7,2.4,3.42,0
9.7,2.2,3.36,0
10.3,1.9,3.6,0
10.2,1.9,3.5,0
12,2.5,3.57,0
9.9,1.8,3.46,0
11.6,4.4,3.56,0
10.9,2.2,3.4,0
10.75,1.9,3.3,0
10.4,2.2,3.25,0
11.2,2.3,3.17,0
10.1,1.8,3.36,0
10.2,2,3.36,0
12.1,1.6,3.55,0
10.4,2,3.1,0
11.4,1.8,3.24,0
9.5,2.3,3.45,0
9.4,2.3,3.44,0
11.3,3.7,3.51,0
9.4,2.2,3.41,0
11,2.4,3.54,0
10.55,1.7,3.44,0
9.9,2.2,3.53,0
11,2.4,3.54,0
9.5,6.7,3.22,0
9.9,2,3.21,0
9.9,2,3.21,0
9.9,2,3.21,0
10.1,2,3.29,0
10.1,2,3.29,0
10.1,2,3.29,0
10.9,1.9,3.39,0
11.2,2.1,3.34,0
10.1,2,3.29,0
9.2,1.6,3.34,0
11.5,1.9,3.48,0
12.4,2.2,3.37,0
11.1,2.2,3.44,0
9.5,2.2,3.33,0
12.5,2.4,3.58,0
10.5,13.9,3.39,0
11.8,2.2,3.26,0
10.8,1.6,3.3,0
11.9,5.1,3.54,0
11.3,1.8,3.42,0
11.3,1.7,3.54,0
11.9,2.4,3.36,0
11.3,1.7,3.54,0
11.9,2.6,3.57,0
9.8,2.1,3.33,0
11.6,2.4,3.29,0
11.5,2.6,3.3,0
11.4,2.4,3.34,0
10.9,1.8,3.55,0
12.8,2.5,3.27,0
9.2,7.8,3.29,0
11.6,1.8,3.32,0
11.6,1.7,3.67,0
11,2.3,3.42,0
9.5,1.9,3.42,0
10.5,2,3.45,0
11.2,2.2,3.52,0
11,2.3,3.42,0
10.2,2,3.57,0
11,3.6,3.39,0
8.8,20.7,3,1
9.5,1.6,3.3,1
10.1,6.9,3.26,1
9.9,8.5,3.19,1
9.9,8.5,3.19,1
10.1,6.9,3.26,1
9.6,7,3.18,1
8.8,20.7,3,1
9.5,1.6,3.3,1
11,1.5,3.22,1
12,1.45,2.99,1
9.7,4.2,3.14,1
10.8,1.2,3.18,1
12.4,1.5,3.54,1
9.7,19.25,2.98,1
11.4,1.5,3.25,1
9.6,1.1,3.24,1
12.8,1.2,3.33,1
11.3,1.1,3.12,1
9.5,7.5,3.22,1
12.8,1.2,3.33,1
11,2.9,3.17,1
10.5,1.7,3.47,1
9.3,1.5,3.05,1
10,1.3,3.42,1
10.4,9,3.25,1
10,1,3.45,1
10.5,8.7,3.38,1
11.6,1.1,3.19,1
12.3,2,3.1,1
10,10.4,3.2,1
10.2,1.1,3.47,1
10.8,2.05,3.19,1
9,1.5,3.42,1
10.2,14.95,3.37,1
12.8,1.7,3.19,1
10,5.4,3.24,1
11.2,1.2,3.13,1
8.6,17.95,3.21,1
8.6,17.95,3.21,1
9.4,2.5,3.11,1
9.4,2.9,3.1,1
9.8,7.4,3.13,1
9.5,1.4,3.22,1
9.5,1.4,3.24,1
10,1.4,3.16,1
9.8,4.4,3.27,1
9.8,4.4,3.25,1
9.8,7.4,3.13,1
9.8,5,3.36,1
11.7,1.6,3.35,1
11,1.1,3.34,1
10.9,1.1,3.32,1
10.9,1,3.31,1
9.1,0.9,3.05,1
11,1.3,3.13,1
9.6,11.9,3.09,1
8.9,12.4,3.3,1
10.2,4.6,3.11,1
9.9,1.2,3.36,1
8.6,4.9,3.03,1
8.9,12.4,3.3,1
10.5,1.1,3.02,1
10.2,4.6,3.11,1
10.3,1.4,3.15,1
9.1,1.2,3.22,1
12.6,6.4,3.22,1
9.8,1.2,3.14,1
10.7,2.1,3.33,1
9.5,10.1,3.13,1
9,7.8,3.1,1
9.5,4.6,3.32,1
10,4.8,3.69,1
9.1,1,2.95,1
10.7,2.1,3.33,1
9.5,10.1,3.13,1
12.7,1.4,3.26,1
12,1.3,3.31,1
9.3,8.8,2.94,1
9,5.4,3.27,1
10.6,1.4,3.39,1
9.2,16,3.21,1
10,6.1,3.17,1
9.5,8.2,3.33,1
8.7,11.8,3.11,1
8.7,11.8,3.12,1
8.7,11,3.09,1
9.7,13.3,3.22,1
8.7,11.8,3.11,1
8.7,11.8,3.12,1
8.7,11,3.09,1
9,7.5,3.12,1
12.6,1.7,3.26,1
12.6,1.8,3.25,1
11.5,1.7,3.21,1
9.2,12.4,3.04,1
8.8,15.9,3.14,1
11.4,1.2,2.95,1
10.1,10.5,2.89,1
8.8,15.9,3.14,1
9.1,13.5,3,1
9.4,9.6,3.4,1
9.4,12.1,3.34,1
9,18.9,2.99,1
9.1,13.5,3,1
9.2,14.4,3.2,1
9.4,9.6,3.4,1
9.1,16.5,3.16,1
9.1,16.5,3.16,1
10.3,1.3,3.27,1
8.8,8.5,2.89,1
8.9,18.75,3.04,1
9.2,13.3,3.01,1
9.1,9.2,3.22,1
9.1,9.2,3.22,1
9.7,1.5,3.63,1
11.3,3.3,3.31,1
11.8,1.7,3.19,1
9.2,13.3,3.01,1
9.2,13.3,3.04,1
10.2,5.7,3.22,1
8.8,12.2,3.01,1
9.7,6.85,3.29,1
9.1,5,3.29,1
9.8,1.6,3.21,1
11,1.1,3.27,1
10.5,7,3.14,1
9.7,7.6,3.45,1
10.9,2.8,3.3,1
10.9,2.7,3.31,1
10.6,10.4,3.39,1
9.7,7.6,3.45,1
9,13.1,3.23,1
9.2,15.8,3.24,1
8.9,8.1,3.19,1
9.6,15.7,3.26,1
10.7,1.2,3.12,1
8.7,10.5,3.16,1
10.8,1.9,3.15,1
11.8,1.9,3.23,1
10.2,2.2,3.3,1
8.7,10.5,3.16,1
10.8,1.2,3.21,1
9.7,4.3,3.18,1
11.2,2,3.12,1
10.9,1.1,3,1
10.1,1.4,3.28,1
9,5.2,3.38,1
12,4.6,3.38,1
9.4,4.1,2.99,1
11.5,8,3.12,1
9.9,10.2,3.14,1
9.4,4.1,2.99,1
10.4,1.2,3.14,1
9.7,7.5,3.06,1
8.9,14,2.89,1
8.9,14,2.89,1
12.4,1.5,3.29,1
12.1,1.4,3.36,1
12.1,1.4,3.36,1
12.4,1.5,3.29,1
9.1,14.5,2.98,1
10.6,4.8,3.28,1
8.9,14,2.89,1
9.5,13.1,3.15,1
9.8,13,3.16,1
9.6,8.7,3.14,1
12.6,2.4,3.08,1
9.3,8.95,3.08,1
10,9.85,2.87,1
12.7,1.5,3.12,1
11,1.5,3.13,1
11.4,0.8,3.03,1
11.5,4.55,3.35,1
10.2,17.7,3.09,1
11.4,7.5,3.11,1
12.6,5.1,3.03,1
9.4,12.9,3.28,1
8.7,1.2,3.11,1
9.2,5.5,3.19,1
9.3,5.5,3.19,1
9.2,1.2,3.09,1
8.7,22,2.93,1
9.6,14,3.18,1
9.3,11.9,3.02,1
9.3,11.9,3.02,1
9.9,9.4,3.12,1
11,4.2,3.15,1
12.7,3.8,3.26,1
8.9,8.5,3.09,1
8.9,8.5,3.09,1
8.7,22,2.93,1
11.4,8,3.02,1
9.6,5.1,3.36,1
9.1,3.6,3.02,1
9.1,3.5,3.02,1
9.1,3.6,3.01,1
8.9,7.8,3.13,1
8.8,13.1,3.1,1
8.9,7.8,3.13,1
9.3,16.1,3.15,1
8.8,13.1,3.1,1
9.6,13.2,3.2,1
12,13.9,3.33,1
10.2,2.3,3.28,1
8.8,11.6,3.15,1
9.2,8.3,3.21,1
9.9,6.2,2.99,1
10.2,2.2,3.32,1
9.5,0.9,3.22,1
10.5,9.7,3.31,1
11.2,1.4,3.32,1
9.2,8.3,3.21,1
9.7,5.3,3.44,1
11.1,1.4,3.3,1
9.4,9.2,3.31,1
11,7,3.03,1
9.4,9.2,3.31,1
9.4,17.5,3.31,1
11,7,3.04,1
11,7,3.03,1
9.1,9.5,3,1
11.1,1.4,3.3,1
9.1,0.8,3.42,1
10.4,1.8,3.39,1
8.7,17.8,3.32,1
9.7,2.4,3.5,1
9.1,10.3,3.17,1
9.7,2.4,3.5,1
8.7,17.8,3.32,1
8.9,9.7,3.37,1
9.6,7.8,3.34,1
9.5,7.8,3.31,1
9,14.3,3.09,1
9,14.3,3.09,1
9,14.3,3.09,1
9,14.3,3.09,1
9.6,13.2,3.27,1
11.1,1.4,3.34,1
9.6,15.55,3.48,1
8.7,13.7,3.2,1
10.4,7.8,3.13,1
11.4,2.4,3.15,1
9.7,2.7,3.3,1
8.7,11.2,3.14,1
11.3,2,3.37,1
12.6,2.1,3.16,1
10.9,1.4,3.25,1
10.9,1.4,3.25,1
10,10.4,3.38,1
10,4.6,3.72,1
9.8,16.2,3.02,1
8.7,11.2,3.14,1
11.7,3.5,3.53,1
9.3,1.5,3.21,1
9.6,1.1,3.32,1
11,5.7,3.27,1
11,5.7,3.27,1
11.8,1.8,3.32,1
11.4,0.9,3.28,1
10.2,5.4,3.32,1
8.9,19.45,2.93,1
10.2,8.2,3.17,1
9.6,13.6,3.08,1
10.6,1.2,3.1,1
8.9,19.45,2.93,1
9.2,8.3,3.25,1
9.7,6.9,3.34,1
9.7,7.1,3.34,1
9.7,7,3.34,1
9.2,8.3,3.25,1
9.7,7,3.33,1
9.3,13.1,3.29,1
9,5.1,3.24,1
9.5,10.7,3.05,1
9.8,8.9,3.14,1
9.8,9.1,3.14,1
10.6,1.1,2.89,1
10.6,1.2,3.05,1
12.4,4.7,3.26,1
12.6,2.8,3.19,1
12.3,5,3.3,1
10.5,5.1,3.08,1
9.3,15.6,3.19,1
8.8,15.4,3.12,1
8.8,7.2,3.08,1
9.7,15.7,3.22,1
9,14.2,2.98,1
9,14.2,2.98,1
9,14.2,2.98,1
9,14.2,2.98,1
10.5,5.8,3.52,1
9.1,19.8,2.96,1
9.8,7.3,3.44,1
8.5,1.6,3.23,1
9.4,1.2,3.37,1
9.4,10.6,3.09,1
11.2,3.8,3.19,1
10,11.3,3.17,1
10.3,2.1,3.15,1
10.8,1.6,3.27,1
10.5,0.9,3.13,1
10.8,1.6,3.27,1
11.1,1.3,3.32,1
9.9,6.8,3.2,1
9.9,6.8,3.2,1
9.9,6.7,3.2,1
9.9,6.7,3.2,1
10.4,4.9,3.2,1
10.4,4.8,3.21,1
11.5,2.1,3.4,1
12.5,8.3,3.53,1
10,3.7,3.36,1
10,6.7,3.29,1
10,6.6,3.29,1
9.1,1.1,3.09,1
10.6,4.7,3.21,1
10.5,7.7,3.19,1
11.5,7.85,3.52,1
10.1,3.3,3.54,1
10.3,1.1,3.61,1
10.5,7.7,3.19,1
10.6,4.7,3.21,1
10.4,9.3,3.16,1
11.4,2,3.02,1
10.5,5.8,3.18,1
10,15.15,2.96,1
10,6.3,3.19,1
9.6,15.4,3.23,1
10.4,1.3,3.17,1
12.5,4.8,3.36,1
10.6,4.6,3.2,1
11.8,1.8,3.28,1
9.8,9.9,3.11,1
10.8,5.7,3.25,1
11.8,1.8,3.28,1
11.2,1.5,3.32,1
9.3,12.3,3.28,1
10.4,1.3,3.45,1
10.2,1.5,3.43,1
9,7.8,3.19,1
10,1.5,3.2,1
9.1,9.7,3.18,1
10,3,3.29,1
10,3,3.29,1
9.6,4.6,3.28,1
11.2,1.3,3.36,1
8.8,15.6,3.2,1
10,13.6,3.15,1
10,11.2,3.15,1
11.4,2.1,3.27,1
11.9,6.85,3.03,1
9.6,2.5,3.14,1
11.9,6.85,3.03,1
9.6,4.4,3.25,1
9,14.3,2.89,1
9,14.3,2.89,1
9.5,1.1,3.15,1
10.4,1.4,3,1
10.6,4.7,3.2,1
10.2,14.9,3.28,1
8.9,1.2,3.15,1
9.7,5.3,3.4,1
9,14.3,2.89,1
11.4,2.3,3.49,1
12.3,3.5,3.4,1
10.8,1.5,3.49,1
9.4,1,3.12,1
10.6,2.3,3.17,1
11.6,12.5,3.17,1
9.4,1,3.12,1
10.6,2.3,3.17,1
10,0.8,3.34,1
9.2,2.4,3.1,1
12.5,1.6,3.51,1
12.5,1.6,3.51,1
10.4,1.5,3.32,1
10,1.4,3.15,1
10,2.6,3.22,1
10.4,1.5,3.32,1
10,1.4,3.15,1
9,12.5,3.1,1
9.2,9.6,3.12,1
9.2,2.4,3.1,1
11.3,3.2,3.38,1
12.5,1.6,3.51,1
10.8,1.5,3.48,1
10.1,5.9,3.12,1
9.7,5.4,3.39,1
9.3,14.9,3.18,1
9.3,14.9,3.18,1
10.6,1.1,3.1,1
10.2,9.8,3.36,1
12.2,2,3.08,1
8.8,11.8,3.19,1
10,1.3,3.18,1
11.4,1.8,3.09,1
11.4,1.5,3.46,1
9.4,18.2,3.35,1
11.7,2.9,3.3,1
11.4,1.5,3.46,1
8.8,11.8,3.19,1
9.2,1.4,3.23,1
8.7,18.2,3.07,1
12.6,6.3,3.24,1
10,1.3,3.18,1
12.8,4,3.39,1
9.4,1.2,3.17,1
10.3,1.2,3.26,1
11.4,1.8,3.09,1
9,18.95,2.97,1
9.6,12.7,3.3,1
10.5,1.2,3.16,1
10.5,1.2,3.16,1
9,18.95,2.97,1
9.6,12.7,3.3,1
9.8,1.2,3.19,1
9,7.7,3.1,1
9.8,1.2,3.19,1
10.5,1.6,3.31,1
12.7,2.7,3.16,1
10.4,8.7,3.25,1
10.4,8.6,3.25,1
10.4,8.6,3.25,1
10.5,8.3,3.34,1
10.4,8.7,3.25,1
10.4,8.6,3.25,1
9.4,13.3,3.09,1
9.1,1.2,3.06,1
9.3,13.6,3.1,1
9.4,13.3,3.09,1
9.8,1.1,3.21,1
9.9,2.3,3.18,1
9.2,1.5,3.07,1
12.1,7.1,3.35,1
12.2,6.2,3.38,1
9.8,2.5,3.27,1
12.4,1.4,3.35,1
9.9,2.3,3.18,1
9.2,1.2,3.26,1
11.6,1.6,3.29,1
10.4,6.6,3.3,1
12.9,2.2,3.43,1
9.3,12.2,3.26,1
11,20.8,3.2,1
11.5,11,3.24,1
12.4,2.6,3.53,1
9.8,14,3.44,1
9.8,14,3.44,1
10.5,1.6,3.48,1
9.1,9.9,3.03,1
10.1,1.2,3.24,1
10.6,2.7,3.46,1
10.5,1.6,3.41,1
10.5,1.6,3.48,1
9.8,14,3.44,1
12.9,1.5,3.3,1
9.5,8.6,2.95,1
9.8,1,3.29,1
8.5,9.1,3.37,1
9.5,8.6,2.95,1
9.3,15.2,3.22,1
9.5,12.4,3.35,1
9.4,2.2,3.17,1
8.7,11,3.16,1
8.9,10,2.95,1
9.4,9,3.22,1
9.4,2.2,3.17,1
8.7,11,3.16,1
9.6,18.15,3.09,1
9.3,12.15,3,1
